Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions,Detection Result,Correction Result
"Ayon sa OCTA group na bagamat may naganap na pagbaba sa hawaan ng virus sa Metro Manila, higit pa din ang dapat na pag-iingat ng mamamayan dahil nananatiling nasa kritikal pang kondisyon ang rehiyon sa virus.","Ayon sa OCTA group na bagamat may naganap na pagbaba sa hawaan ng virus sa Metro Manila, higit pa rin ang dapat na pag-iingat ng mamamayan dahil nananatiling nasa kritikal pang kondisyon ang rehiyon sa virus.","Ayon sa OCTA group na bagamat may naganap na pagbaba sa hawaan ng virus sa Metro Manila, higit pa rin ang dapat na pag-iingat ng mamamayan dahil nananatiling nasa kritikal pang kondisyon ang rehiyon sa virus.",[],{},TP,TP
"Pero pagdating nila sa checkout area, nilapag niya ang bag niya, pero na-out of balance kaya nahuhulog kasama ang pinitik niyang tea set sa room service sana ng hotel.","Pero pagdating nila sa checkout area, nilapag niya ang bag niya, pero na-out of balance kaya nahulog kasama ang pinitik niyang tea set sa room service sana ng hotel.","Pero pagdating nila sa backout area, nilabag niya ang bag niya, pero na-out of balance kaya nahuhulog kasama ang pinitik niyang tea set sa room service sana ng hotel.","['checkout', 'nilapag']","{'checkout': ['checkouts', 'checkup', 'backout', 'blackout', 'breakout'], 'nilapag': ['ilapag', 'inilapag', 'nilabag', 'nilalag', 'nilapa']}",TP,FN
Na umalingasaw umano ang malan sang amoy.,Na umalingasaw umano ang malansang amoy.,Na umalingasaw umano ang kalan sang amoy.,['malan'],"{'malan': ['alan', 'galan', 'kalan', 'maan', 'makan']}",TP,FN
Inihayag ito ng Japanese Prime Minister sa 20 minutong paguusap nila ni Duterte sa telepono nitong Miyerkoles.,Inihayag ito ng Japanese Prime Minister sa 20 minutong pag-uusap nila ni Duterte sa telepono nitong Miyerkoles.,Inihayag ito ng kapares Prime Minister sa ag minutong paggusad nila ni suwerte sa telepono nitong mirekules.,"['Japanese', '20', 'paguusap', 'Duterte', 'Miyerkoles']","{'Japanese': ['apanas', 'balanse', 'kapares', 'manganese', 'mapanis'], '20': ['ab', 'ad', 'ag', 'ah', 'ak'], 'paguusap': ['pagbusa', 'paggisap', 'paggusad', 'paghusay', 'pagkisap'], 'Duterte': ['butete', 'puwerte', 'suwerte', 'terte', 'bunete'], 'Miyerkoles': ['miyerkules', 'Miyerkules', 'mirekules', 'biyernes', 'Biyernes']}",TP,FN
"Hindi rin ito nagpapahintulot sa sinumang tao o kompanya na mag-alok o magbenta ng passport appointment slot, nagsasabi nito.","Hindi rin ito nagpapahintulot sa sinumang tao o kompanya na mag-alok o magbenta ng passport appointment slot, sinabi nito.","Hindi rin ito nagpapahintulot sa sinumang tao o kompanya na mag-alok o magbenta ng passport appointment slot, nagsasabi nito.",[],{},FN,FN
"Hawak na ng-pulisya ang suspek na si Julius Bibay, 32, ng #1146 Lontoc Apartment, Brgy.","Hawak na ng pulisya ang suspek na si Julius Bibay, 32, ng #1146 Lontoc Apartment, Brgy.","Hawak na ng-pulisya ang suspek na si pulis binay, ag, ng #aako latoc Apartment, Brgy.","['Julius', 'Bibay', '32', '1146', 'Lontoc']","{'Julius': ['dulis', 'gulis', 'pulis', 'tulis', 'aalis'], 'Bibay': ['bigay', 'bihay', 'binay', 'biray', 'bitay'], '32': ['ab', 'ad', 'ag', 'ah', 'ak'], '1146': ['aaba', 'aag', 'aako', 'aal', 'aala'], 'Lontoc': ['lantod', 'lantot', 'latoc', 'lintog', 'lintos']}",TP,FN
"Pero base sa latest showbiz update vlog ni Ogie Diaz, ayon raw sa kanyang source ay hiwalay na nga ang dalawa.","Pero base sa latest showbiz update vlog ni Ogie Diaz, ayon daw sa kanyang source ay hiwalay na nga ang dalawa.","Pero base sa latest showbiz update vlog ni agit biak, ayon daw sa kanyang source ay hiwalay na nga ang dalawa.","['Ogie', 'Diaz']","{'Ogie': ['age', 'agik', 'agit', 'agiw', 'die'], 'Diaz': ['dial', 'bia', 'biak', 'bias', 'cial']}",TP,FN
"Tapos say niya, di pa ready mag-shooting.","Tapos say niya, di pa siya ready mag-shooting.","Tapos say niya, di pa ready mag-shooting.",[],{},FN,FN
"Kasasabi nga ni Dondon, naniniwala siyang nandito pa rin ang COVID-19 kahit bumababa na ang kaso, pero hindi pa raw ito tuluyang mawala.","Sabi nga ni Dondon, naniniwala siyang nandito pa rin ang COVID-19 kahit bumababa na ang kaso, pero hindi pa raw ito tuluyang mawala.","Kasasabi nga ni condom, naniniwala siyang nandito pa rin ang COVID-ag kahit bumababa na ang kaso, pero hindi pa raw ito tuluyang mawala.","['Dondon', '19']","{'Dondon': ['andon', 'condo', 'condom', 'condone', 'condos'], '19': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
"Nangako rin ang grupo na magbibigay ng tulong sa lahat ng pamilyang Filipino, women groups at sa mass society, pag promote ng pag-ibig para sa bansa, pangangalaga sa kapaligiran at pagprotekta sa karapatan ng bawat mamamayan.","Nangako rin ang grupo na magbibigay ng tulong sa lahat ng pamilyang Filipino, women groups at sa mass society, pag-promote ng pag-ibig para sa bansa, pangangalaga sa kapaligiran at pagprotekta sa karapatan ng bawat mamamayan.","Nangako rin ang grupo na magbibigay ng tulong sa lahat ng pamilyang Filipino, women groups at sa mass society, pag promote ng pag-ibig para sa bansa, pangangalaga sa kapaligiran at pagprotekta sa karapatan ng bawat mamamayan.",[],{},FN,FN
"Syempre po kami po hindi po kami nakukuntento dapat kahit napapanalunan po kami, dapat tumingin pa rin po kami sa brighter side na meron pa kami kayang i-improve like yung errors namin kaya pa namin siya iminimize and yung consistency talaga namin, ani reigning MVP Bella Belen.","Syempre po kami po hindi po kami nakukuntento dapat kahit nanalo po kami, dapat tumingin pa rin po kami sa brighter side na meron pa kami kayang i-improve like yung errors namin kaya pa namin siya iminimize and yung consistency talaga namin, ani reigning MVP Bella Belen.","disyembre po kami po hindi po kami makuntento dapat kahit napapalunan po kami, dapat tumingin pa rin po kami sa lighter side na meron pa kami kayang i-improve like yung errors namin kaya pa namin siya isinumite and yung consistency talaga namin, ani reigning ap bakla bale.","['Syempre', 'nakukuntento', 'napapanalunan', 'brighter', 'iminimize', 'MVP', 'Bella', 'Belen']","{'Syempre': ['siyempre', 'yembre', 'disyembre', 'Disyembre', 'emple'], 'nakukuntento': ['makukuntento', 'nakuntento', 'makuntento', 'nagkukuwento', 'nakukumpeto'], 'napapanalunan': ['napanalunan', 'napapalanunan', 'napapalunan', 'mapanalunan', 'mapapanuluyan'], 'brighter': ['bright', 'fighter', 'lighter', 'bigote', 'bitter'], 'iminimize': ['minimize', 'iminimitsa', 'isinumite', 'itinimbre', 'maximize'], 'MVP': ['map', 'vp', 'ap', 'app', 'atp'], 'Bella': ['bell', 'belly', 'bakla', 'bala', 'balda'], 'Belen': ['been', 'helen', 'bale', 'baleng', 'bales']}",TP,FN
Lumalabas sa imbestigasyon na nagpapa-vulcanize ng gulong ng kanyang motorsiklo si Collado nang babaan siya ng grupo ng mga killer mula sa humintong pickup truck nagsaka siya pinagbabaril dakong alas-12 ng tanghali.,Lumalabas sa imbestigasyon na nagpapa-vulcanize ng gulong ng kanyang motorsiklo si Collado nang babaan siya ng grupo ng mga killer mula sa humintong pickup truck saka siya pinagbabaril dakong alas-12 ng tanghali.,Lumalabas sa imbestigasyon na nagpapa-vulcanizing ng gulong ng kanyang motorsiklo si doblado nang babaan siya ng grupo ng mga killer mula sa humintong pickup truck nagsaka siya pinagbabaril dakong alas-ag ng tanghali.,"['vulcanize', 'Collado', '12']","{'vulcanize': ['vulcanic', 'volcanic', 'vulcanizing', 'bulaanin', 'bulaaning'], 'Collado': ['collab', 'collar', 'doblado', 'alyado', 'baldado'], '12': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
Nananatiling nasa alert level 2 ang Bulkang Taal sa Batangas bagamat hihindi nagkakaroon ng volcanic earthquake sa nakalipas na 24 oras.,Nananatiling nasa alert level 2 ang Bulkang Taal sa Batangas bagamat hindi nagkakaroon ng volcanic earthquake sa nakalipas na 24 oras.,Nananatiling nasa alert level d ang Bulkang Taal sa Batangas bagamat hihikbi nagkakaroon ng volcanic earthquake sa nakalipas na ag oras.,"['2', 'hihindi', '24']","{'2': ['b', 'c', 'd', 'e', 'f'], 'hihindi': ['hihingi', 'hihibi', 'hihikbi', 'hihina', 'hihinay'], '24': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
"Bilang bahagi ng pinalakas na security operations para sa ??Ligtas Paskuhan 2022?, nagsagawa ng pagiinspeksiyon sa mga bus terminals sa Metro Manila si Philippine National Police(PNP) Chief P/Gen.","Bilang bahagi ng pinalakas na security operations para sa ??Ligtas Paskuhan 2022?, nagsagawa ng pag-iinspeksiyon sa mga bus terminals sa Metro Manila si Philippine National Police(PNP) Chief P/Gen.","Bilang bahagi ng pinalakas na security operations para sa ??Ligtas Paskuhan aag?, nagsagawa ng nainspeksiyon sa mga bus terminals sa Metro Manila si Philippine National Police(pdp) Chief P/Gen.","['2022', 'pagiinspeksiyon', 'PNP']","{'2022': ['p25', 'aaba', 'aag', 'aako', 'aal'], 'pagiinspeksiyon': ['iinspeksiyon', 'iniinspeksiyon', 'nainspeksiyon', 'iinspeksyon', 'iniinspeksyon'], 'PNP': ['lpnp', 'pap', 'pdp', 'pep', 'png']}",TP,FN
Kasasabi ni Estoperez na nag-uumpisa pa lamang magtanim ng sibuyas ang mga magsasaka sa Nueva Ecija habang mayroon nang ani ang mga magsasaka sa Tarlac na tinatawag na ??talang? subalit hindi matiyak kung kayang tugunan ang kailangang supply ng mga mamimilit.,Sinabi ni Estoperez na nag-uumpisa pa lamang magtanim ng sibuyas ang mga magsasaka sa Nueva Ecija habang mayroon nang ani ang mga magsasaka sa Tarlac na tinatawag na ??talang? subalit hindi matiyak kung kayang tugunan ang kailangang supply ng mga mamimilit.,Kasasabi ni entered na nag-uumpisa pa lamang magtanim ng sibuyas ang mga magsasaka sa neca Ecija habang mayroon nang ani ang mga magsasaka sa taalan na tinatawag na ??talang? subalit hindi matiyak kung kayang tugunan ang kailangang supply ng mga mamimilit.,"['Estoperez', 'Nueva', 'Tarlac']","{'Estoperez': ['estereo', 'empowered', 'entered', 'escapees', 'eskopeta'], 'Nueva': ['buena', 'nagva', 'neca', 'nega', 'nua'], 'Tarlac': ['tarlak', 'tarmac', 'taalan', 'tabla', 'tablan']}",TP,FN
"Ginoogle (Google) niya yung ??Jewel pilot Philippines,?? tapos roon lumabas lahat yung information about me.","Ginoogle (Google) niya yung ??Jewel pilot Philippines,?? tapos doon lumabas lahat yung information about me.","dinodoble (Google) niya yung ??Jewel pilot Philippines,?? tapos roon lumabas lahat yung information about me.",['Ginoogle'],"{'Ginoogle': ['google', 'dinoble', 'dinodoble', 'ginoo', 'ginoong']}",TP,FN
"Dahil 27-anyos na, nagsasabi ni Derrick na panahon na para maghanap siya ng taong magiging kasama niya sa buhay.","Dahil 27-anyos na, sinabi ni Derrick na panahon na para maghanap siya ng taong magiging kasama niya sa buhay.","Dahil ag-anyos na, nagsasabi ni deck na panahon na para maghanap siya ng taong magiging kasama niya sa buhay.","['27', 'Derrick']","{'27': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Derrick': ['brick', 'debris', 'deck', 'degri', 'degring']}",TP,FN
Inilunsad noong Abril 4 ang ??Bus ni ISKO? campaign caravan na naglalayong ikampanya ang kandidatura ni Mayor Isko dahil maniniwala sila sa mga nagawa nito sa Maynila ay magagawa rin sa buong bansa.,Inilunsad noong Abril 4 ang ??Bus ni ISKO? campaign caravan na naglalayong ikampanya ang kandidatura ni Mayor Isko dahil naniniwala sila sa mga nagawa nito sa Maynila ay magagawa rin sa buong bansa.,Inilunsad noong Abril d ang ??Bus ni iko? campaign caravan na naglalayong ikampanya ang kandidatura ni Mayor iko dahil maniniwala sila sa mga nagawa nito sa Maynila ay magagawa rin sa buong bansa.,"['4', 'ISKO', 'Isko']","{'4': ['b', 'c', 'd', 'e', 'f'], 'ISKO': ['disko', 'iako', 'iko', 'isako', 'iskor'], 'Isko': ['disko', 'iako', 'iko', 'isako', 'iskor']}",TP,FN
"Wala anya siyang anumang sintomas, ngunit ihihiwalay siya bilang pagiingat hanggang sa matapos ang kanyang isolation period.","Wala anya siyang anumang sintomas, ngunit ihihiwalay siya bilang pag-iingat hanggang sa matapos ang kanyang isolation period.","Wala anya siyang anumang sintomas, ngunit ihihiwalay siya bilang paghinga hanggang sa matapos ang kanyang isolation period.",['pagiingat'],"{'pagiingat': ['magingat', 'pagbigat', 'paghinga', 'paghingal', 'paglinga']}",TP,FN
"Nag-advise na din daw siya sa MWP organizer at ang wish niya, ma-clear ang air, pag-usapan na lang dahil umamin nga raw ang roommate niya na sa kanya (roommate) nag-start ang lahat ng intriga at nag-sorry naman daw ito sa harap ng ibang contestants.","Nag-advise na rin daw siya sa MWP organizer at ang wish niya, ma-clear ang air, pag-usapan na lang dahil umamin nga raw ang roommate niya na sa kanya (roommate) nag-start ang lahat ng intriga at nag-sorry naman daw ito sa harap ng ibang contestants.","Nag-advise na rin daw siya sa app organizer at ang wish niya, ma-clear ang air, pag-usapan na lang dahil umamin nga raw ang kombate niya na sa kanya (kombate) nag-start ang lahat ng intriga at nag-sorry naman daw ito sa harap ng ibang consultants.","['MWP', 'roommate', 'roommate', 'contestants']","{'MWP': ['map', 'ap', 'app', 'atp', 'aw'], 'roommate': ['roommates', 'commute', 'kombate', 'automate', 'bromite'], 'contestants': ['contestant', 'constant', 'consultants', 'contents', 'combatants']}",TP,FN
Upang malibang ay kinailangan umanong binibili ng komedyante ng badminton net at basketball ding upang mayroon silang mapaglibangan ng kasintahang si Ion Perez sa bahay.,Upang malibang ay kinailangan umanong bumili ng komedyante ng badminton net at basketball ding upang mayroon silang mapaglibangan ng kasintahang si Ion Perez sa bahay.,Upang malibang ay kinailangan umanong binibili ng komedyante ng badminton net at basketball ding upang mayroon silang mapagbintangan ng kasintahang si dion ere sa bahay.,"['mapaglibangan', 'Ion', 'Perez']","{'mapaglibangan': ['mapaglabanan', 'mapaglalangan', 'mapagbintangan', 'mapaglaanan', 'mapaglabanang'], 'Ion': ['aon', 'con', 'dion', 'don', 'eon'], 'Perez': ['eere', 'eez', 'ere', 'here', 'iere']}",TP,FN
"Pinagsasaksak at napatay ng isang lalaki ang kaniyang kainuman ng hindi paniwalaan at pagtawanan pa siya sa kaniyang ikinukuwento, nitong Martes ng madaling araw sa Tondo, Maynila.","Pinagsasaksak at napatay ng isang lalaki ang kaniyang kainuman nang hindi paniwalaan at pagtawanan pa siya sa kaniyang ikinukuwento, nitong Martes ng madaling araw sa Tondo, Maynila.","Pinagsasaksak at napatay ng isang lalaki ang kaniyang kainuman ng hindi paniwalaan at pagtawanan pa siya sa kaniyang ikinukuwento, nitong Martes ng maraling araw sa todo, Maynila.",['Tondo'],"{'Tondo': ['condo', 'pondo', 'todo', 'tono', 'tonto']}",TP,FN
"Nandito ngayon sa Pilipinas si Anne, pero hindi pa raw sila nagkita ni Nico dahil abala rin raw siya.","Nandito ngayon sa Pilipinas si Anne, pero hindi pa raw sila nagkita ni Nico dahil abala rin daw siya.","Nandito ngayon sa Pilipinas si annex, pero hindi pa raw sila nagkita ni nido dahil abala rin daw siya.","['Anne', 'Nico']","{'Anne': ['akne', 'ann', 'annex', 'ante', 'aang'], 'Nico': ['naco', 'nice', 'nido', 'nigo', 'nino']}",TP,FN
"Ang average kaya lumalakas po ang peso kaya maganda naman ang kayayari sa atin, pahayag ni Dr. Fernando Martinez, chairman ng IPPCA.","Ang average kaya lumalakas po ang peso kaya maganda naman ang nangyayari sa atin, pahayag ni Dr. Fernando Martinez, chairman ng IPPCA.","Ang average kaya lumalakas po ang peso kaya maganda naman ang iyayari sa atin, pahayag ni da. heranyo margine, chairman ng ipara.","['kayayari', 'Dr', 'Fernando', 'Martinez', 'IPPCA']","{'kayayari': ['mayayari', 'nayayari', 'iyayari', 'kayayao', 'magyayari'], 'Dr': ['ar', 'd', 'da', 'de', 'der'], 'Fernando': ['beranda', 'ferdinand', 'heranyo', 'ibinando', 'iminando'], 'Martinez': ['martines', 'maitines', 'margine', 'margines', 'marine'], 'IPPCA': ['ipa', 'ipapa', 'ipara', 'ipasa', 'ipila']}",TP,FN
"Bong at nalagpasan na rin ni Mayor Lani ang Angiogram, at nag-bonding pa silang mag asawa sa isang kuwarto sa hospital.","Bong at nalagpasan na rin ni Mayor Lani ang Angiogram, at nag-bonding pa silang mag-asawa sa isang kuwarto sa hospital.","Bong at nalagpasan na rin ni Mayor kani ang angina, at nag-bonding pa silang mag asawa sa isang kuwarto sa hospital.","['Lani', 'Angiogram']","{'Lani': ['aani', 'ani', 'kani', 'labi', 'lagi'], 'Angiogram': ['angkora', 'angilan', 'angina', 'anging', 'angkorang']}",TP,FN
Mahiyain raw si Maine?,Mahiyain daw si Maine?,Mahiyain daw si maino?,['Maine'],"{'Maine': ['maide', 'main', 'maino', 'maire', 'marine']}",TP,FN
Hindi pa rin sumusuko si dating Senador Bongbong Marcos ng muling magsampa ng ??motion for reconsideration?? sa Presidential Electoral Tribunal (PET) para mabaligtad ang pagbasura sa kaniyang ??election protest?? laban kay Vice-President Leni Robredo.,Hindi pa rin sumusuko si dating Senador Bongbong Marcos nang muling magsampa ng ??motion for reconsideration?? sa Presidential Electoral Tribunal (PET) para mabaligtad ang pagbasura sa kaniyang ??election protest?? laban kay Vice-President Leni Robredo.,Hindi pa rin sumusuko si dating Senador Bongbong Marcos ng muling magsampa ng ??motion for reconsideration?? sa Presidential Electoral Tribunal (PET) para mabaligtad ang pagbasura sa kaniyang ??election protest?? laban kay Vice-President aani Robredo.,['Leni'],"{'Leni': ['lend', 'lens', 'aani', 'aleng', 'ani']}",TP,FN
"Pero malay nyo rin, bigla na lang magkatotoo ang wild dream ko, promise, invite ko rin kayo sa tour ng Malaca?ñang, magtour guide na lang ako.","Pero malay nyo rin, bigla na lang magkatotoo ang wild dream ko, promise, invite ko rin kayo sa tour ng Malaca?ñang, mag-tour guide na lang ako.","Pero malay nyo rin, bigla na lang magkatotoo ang wild dream ko, promise, cavite ko rin kayo sa tour ng malasa?bang, magtu guide na lang ako.","['invite', 'Malaca', 'ñang', 'magtour']","{'invite': ['incite', 'invited', 'cavite', 'indise', 'ingit'], 'Malaca': ['malaga', 'malala', 'malasa', 'malata', 'malawa'], 'ñang': ['aang', 'ang', 'bang', 'cang', 'dang'], 'magtour': ['magtoka', 'magtono', 'magtu', 'magturo', 'actor']}",TP,FN
Sinabi naman ni Interior Secretary Eduardo A?ño na nagsasagawa rin nang sariling imbestigasyon ang Criminal Investigation and Detection Group (CIDG) sa insidente.,Sinabi naman ni Interior Secretary Eduardo A?ño na nagsasagawa rin ng sariling imbestigasyon ang Criminal Investigation and Detection Group (CIDG) sa insidente.,Sinabi naman ni Interior Secretary Eduardo ag?co na nagsasagawa rin nang sariling imbestigasyon ang Criminal Investigation and Detection Group (acids) sa insidente.,"['A', 'ño', 'CIDG']","{'A': ['ab', 'ad', 'ag', 'ah', 'ak'], 'ño': ['ao', 'bo', 'co', 'do', 'go'], 'CIDG': ['cing', 'acid', 'acids', 'aid', 'aide']}",TP,FN
"Wagi rin ang Pag-alala sa Kadakilaan: Tribute to Frontliners bilang Best Public Service TV Ad at Best TV Ad (Branded) naman ang Hindi Ka Nag-iisa, na isang teaser para sa teleseryeng Huwag Kang Mangamba.","Nagwagi rin ang Pag-alala sa Kadakilaan: Tribute to Frontliners bilang Best Public Service TV Ad at Best TV Ad (Branded) naman ang Hindi Ka Nag-iisa, na isang teaser para sa teleseryeng Huwag Kang Mangamba.","Wagi rin ang Pag-alala sa kabaklaan: Tribute to Frontliners bilang Best Public Service TV Ad at Best TV Ad (Branded) naman ang Hindi Ka Nag-iisa, na isang teaser para sa heleheleng Huwag Kang Mangamba.","['Karakilaan', 'teleseryeng']","{'Karakilaan': ['kadakilaan', 'barakilan', 'kabaklaan', 'kadakilaang', 'karalitaan'], 'teleseryeng': ['teleserye', 'telescopeng', 'heleheleng', 'kaleserong', 'semestreng']}",TP,FN
Kasi hindi natin alam kung ano ang nangyayari bukas.,Kasi hindi natin alam kung ano ang mangyayari bukas.,Kasi hindi natin alam kung ano ang nangyayari bukas.,[],{},FN,FN
Idinulog na din umano nila ang nasabing problema kina Mayor Arthur Robes at asawa nitong si Congreswoman Florida Robes pero ikinatuwiran umano ng mga ito na wala sa kontrol ng pamahalaang lokal ang problema kundi nasa Local Water Utilities Administration.,Idinulog na rin umano nila ang nasabing problema kina Mayor Arthur Robes at asawa nitong si Congreswoman Florida Robes pero ikinatuwiran umano ng mga ito na wala sa kontrol ng pamahalaang lokal ang problema kundi nasa Local Water Utilities Administration.,ibinulong na rin umano nila ang nasabing problema kina Mayor actor boxes at asawa nitong si congressmen flora boxes pero ikinatuwiran umano ng mga ito na wala sa kontrol ng pamahalaang lokal ang problema kundi nasa Local Water Utilities Administration.,"['Irinulog', 'Arthur', 'Robes', 'Congreswoman', 'Florida', 'Robes']","{'Irinulog': ['idinulog', 'hinulog', 'ibinulong', 'ibinulos', 'idinulot'], 'Arthur': ['author', 'achor', 'actor', 'after', 'aktor'], 'Robes': ['roles', 'boses', 'boxes', 'bribes', 'codes'], 'Congreswoman': ['congresswoman', 'congressman', 'congressmen', 'congressional', 'chairwoman'], 'Florida': ['florita', 'plorida', 'flora', 'floranda', 'florist']}",TP,FN
??ayaw ko din namang madaliin.,??Ayaw ko rin namang madaliin.,??ayaw ko rin namang aaralin.,['maraliin'],"{'maraliin': ['madaliin', 'mamaliin', 'aaralin', 'aralin', 'babaliin']}",TP,FN
"Kahit na wala pang rehistro sa Pilipinas ang ivermectin para gamitin sa tao nilabanan sa COVID-19, una nang pinagkalooban ng compassionate special permit (CSP) ng FDA ang ilang mga ospital sa Pilipinas para gamitin ito sa ganoong kaparaanan, bagay na kailangang i-apply ng doktor sa kanilang mga pasyente.","Kahit na wala pang rehistro sa Pilipinas ang ivermectin para gamitin sa tao laban sa COVID-19, una nang pinagkalooban ng compassionate special permit (CSP) ng FDA ang ilang mga ospital sa Pilipinas para gamitin ito sa ganoong kaparaanan, bagay na kailangang i-apply ng doktor sa kanilang mga pasyente.","Kahit na wala pang rehistro sa Pilipinas ang ivermectin para gamitin sa tao nilabanan sa COVID-ag, una nang pinagkalooban ng compassionate special permit (csc) ng FDA ang ilang mga ospital sa Pilipinas para gamitin ito sa ganoong kaparaanan, bagay na kailangang i-apply ng doktor sa kanilang mga pasyente.","['19', 'CSP']","{'19': ['ab', 'ad', 'ag', 'ah', 'ak'], 'CSP': ['cap', 'cop', 'csc', 'cup', 'ap']}",TP,FN
"Ayon pa sa PagAsa, nasa panahon ngayon ng transition period na unti-unting kumakawala ang hanging habagat at inaasahang pasok na ang hanging amihan o ang malamig na panahon na palagiang nararansan kapag malapit na ang panahon ng Kapaskuhan.","Ayon pa sa PagAsa, nasa panahon ngayon ng transition period na unti-unting kumakawala ang hanging habagat at inaasahang papasok na ang hanging amihan o ang malamig na panahon na palagiang nararansan kapag malapit na ang panahon ng Kapaskuhan.","Ayon pa sa PagAsa, nasa panahon ngayon ng transition period na unti-unting kumakawala ang hanging habagat at inaasahang pasok na ang hanging amihan o ang malamig na panahon na palagiang nararansan kapag malapit na ang panahon ng Kapaskuhan.",[],{},FN,FN
Biglaan naman yata ang sinasabing split na daw sina Rabiya Mateo at Jeric Gonzales.,Biglaan naman yata ang sinasabing split na raw sina Rabiya Mateo at Jeric Gonzales.,Biglaan naman yata ang sinasabing split na raw sina bariya mate at jerk goggles.,"['Rabiya', 'Mateo', 'Jeric', 'Gonzales']","{'Rabiya': ['kabiya', 'aniya', 'bariya', 'biya', 'gabya'], 'Mateo': ['ateo', 'matao', 'mate', 'mater', 'mates'], 'Jeric': ['epic', 'heroic', 'jerk', 'jerky', 'jerry'], 'Gonzales': ['ginalis', 'goals', 'goggles', 'googles', 'korales']}",TP,FN
"Ang Reggaeton ang paborito ng JBK sapagkat naipapakita nito ang vocal bravado ng mga miyembro, at nagbigay pugay rin ito sa Pinoy cultural roots at influences.","Ang Reggaeton ang paborito ng JBK sapagkat naipapakita nito ang vocal bravado ng mga miyembro, at nagbibigay pugay rin ito sa Pinoy cultural roots at influences.","Ang naggatong ang paborito ng abf sapagkat naipapakita nito ang vocal bravado ng mga miyembro, at nagbigay pugay rin ito sa Pinoy cultural rooms at influences.","['Reggaeton', 'JBK', 'roots']","{'Reggaeton': ['legasyon', 'maggatong', 'naggatong', 'nggayon', 'paggastos'], 'JBK': ['ab', 'aba', 'abf', 'abo', 'abok'], 'roots': ['boots', 'robots', 'rooms', 'root', 'toots']}",TP,FN
"Taong 2017 ng maging magkarelasyon ang dalawa, at marami ang sumuporta sa kanilang kulitan bilang magkasintahan na makikikita sa kanilang vlog.--FRJ.","Taong 2017 nang maging magkarelasyon ang dalawa, at marami ang sumuporta sa kanilang kulitan bilang magkasintahan na makikikita sa kanilang vlog.--FRJ.","Taong aag ng maging magkarelasyon ang dalawa, at marami ang sumuporta sa kanilang kupitan bilang magkasintahan na makakakita sa kanilang vlog.--ari.","['2017', 'kulitan', 'makikikita', 'FRJ']","{'2017': ['p57', 'aaba', 'aag', 'aako', 'aal'], 'kulitan': ['kudlitan', 'kulutan', 'kupitan', 'kuritan', 'aalitan'], 'makikikita': ['makakikita', 'magkikita', 'makakakita', 'makikiisa', 'makikiliti'], 'FRJ': ['ar', 'are', 'ari', 'arm', 'art']}",TP,FN
Idinagdag pa na mayroon din silang standby credit line sa landbank of the Philippines para sa pambili ng bakuna.,Idinagdag pa niya na mayroon din silang standby credit line sa landbank of the Philippines para sa pambili ng bakuna.,idinadag pa na mayroon din silang standby credit line sa aanibang of the Philippines para sa pambili ng bakuna.,"['Irinagdag', 'landbank']","{'Irinagdag': ['idinagdag', 'dinagdag', 'idinadag', 'alinagnag', 'binagbag'], 'landbank': ['landmark', 'aaniban', 'aanibang', 'andana', 'andyan']}",TP,FN
